Username,Id,Tweet,Location
ThxCur,1110183154567008257,RT @therealdaddymo1: This one removes his face mask and sneezed. Oluwa pls what is happening? 😩🤦🏾‍♂️🙄😷  https://t.co/CO24xhDcpH,"Lagos, Nigeria"
GTAdams2,878398135613231104,RT @JillMartin0: So let me see if I have this.....Showing up at the bank with a mask and gloves on is now acceptable?,"Fort Pierce, FL"
Sparky960Lee,893477028,RT @omgness4real: I CALL BULLSHIT!! https://t.co/vr0Fi2Luig,Oregon
iylmwdylm,1110854982654406657,RT @imnotgothicc: me being a face mask for my boyfriend so he doesn’t get sick 🥺👉👈 https://t.co/8NHzO5FBXS,013
nightonmind,760493361920741376,"RT @MeowyMc: Dr. Fauci unveils a mask that could save millions of lives! 
#NotDying4WallStreet #Fauci #TrumpLiesAmericansDie https://t.co/a…",USA
curious_ob,1110030975327584256,RT @AdrienneLeilani: I heard that you’re in need of a face mask 😉 https://t.co/0Ih8p2Muzf,"Chicago, IL"
MenatElAbd,295535390,Coconut face mask with a lil bit of Vitamin C Serum...mmmm🥰✨,"Dubai, United Arab Emirates"
somuthaber,954532837,Moisturizing and exfoliating mask with strawberries https://t.co/YNfRwdFCWg,Türkiye
kadyccox,2182822879,I wanna use my honey and baking soda for a face mask one day. I just need to buy some more lemons and lemon juice.,USA
vwaporwvawve,1065130321899806720,@ayshaufarah This is way less funny to those of us in places with mask shortages,"Seattle, WA"
TurntableKittah,35860455,"RT @mgrant76308: 'Shortage starts with them. Explain it Joe!'
If the finger points to Obama, the media looks the other way.

https://t.co/l…","Charlotte, NC"
argusdog1206,706366472,RT @duty2warn: BREAKING: Fauci discusses new life-saving face mask. https://t.co/qA09uUjbXC,"Richmond, VA"
yubu_1999,730094536261836800,"querentine day 8, people still come over my house and my mom swears that if she wears a mask everything will be ok 😂https://t.co/RNV0aXTtbU",wherever Laura Palmer is
EbonyApplePy,16025282,"""Many, many, millions"" mask and respirators, y'all write that down",Northern Virginia
MeekyH,1408374769,So nobody dey share “face mask n hand sanitizer” for this Lagos ? But dey share cups of rice during last election.,Heaven.
WaunPaul,277268585,The gloves and face mask took me OUT,N 29°55' 0'' / W 90°4' 0'' lol
Nevets_Nonnac,18994631,RT @duty2warn: BREAKING: Fauci discusses new life-saving face mask. https://t.co/qA09uUjbXC,#SonOfMemphis
dondayo2,1002559228480032769,RT @therealdaddymo1: This one removes his face mask and sneezed. Oluwa pls what is happening? 😩🤦🏾‍♂️🙄😷  https://t.co/CO24xhDcpH,"Dubai, United Arab Emirates"
meagannelaine,2465087156,RT @imnotgothicc: me being a face mask for my boyfriend so he doesn’t get sick 🥺👉👈 https://t.co/8NHzO5FBXS,Fl
leeleehodgee,544741112,RT @imnotgothicc: me being a face mask for my boyfriend so he doesn’t get sick 🥺👉👈 https://t.co/8NHzO5FBXS,Denver 
KeyHill7,1535778302,RT @LightyDMV: I bet this bitch is walking around with a mask and gloves now https://t.co/MCSi8DaBKB,Statesboro
crakey1,45330429,@MoodySlayerUK They always have been one rule for us one for them! The mask slips on a regular basis!,Swindon
Drascolav,1518452492,@EndDemocracy I could tell by the eyes in that gas mask pic lol,Cali
LitecoinFam,3234396894,@Bleeding_Crypto The right mask 💙🦇 https://t.co/YklRHS2Ozx,𝗦𝗽𝗲𝗻𝗱 𝗖𝗼𝗱𝗲 👇 F0VOMY 
kosmickae,2388998213,"Bath, wine, face mask😍","Virginia, USA"
Current_M00d_,1134050754946355200,@watermelon_s0da he would be a cutie imagine the lava one with no mask 🥵🥵🥵,"Nebraska, USA"
justtboredd,3633522141,"RT @maithism: Moon Jin having Kook’s bunny mask, Namu Namjoon ain’t impressed https://t.co/hYT8hlvnju",Hope world
shamsrimez,52083352,"RT @yasmeen006: How to make a home made facial mask.

Part 1 https://t.co/Xwx7gRuWFE","Abuja, Kaduna"
Marcdawson,47197217,RT @stonecold2050: BREAKING: Fauci discusses new life-saving face mask. https://t.co/1eRcu5RfDg,Canberra
kristinekoriko,768161957992095746,Here..💍,"Nairobi, Kenya"
LAlupusLady,42825369,"RT @ItalianMonster8: Put a mask on. 
Wash your hands. 
Stay home. 
Jam out to your queen. 

Artwork: IG- @ luizjosemonster https://t.co/1rF…",usually Los Angeles.
IPunchedCupid,4652228354,@swaying_daisies Looks so good! I see someone with a Whisperer mask behind them,"Chicago, IL"
JaniceKetterha2,970055176353669122,RT @duty2warn: BREAKING: Fauci discusses new life-saving face mask. https://t.co/qA09uUjbXC,"Burlington, WI"
jxjanei,2728624400,Didn’t know “breathing while Asian” was a thing but okay,Baltimore
stansfhf,795404565260734465,RT @duty2warn: BREAKING: Fauci discusses new life-saving face mask. https://t.co/qA09uUjbXC,"Pennsylvania, USA"
Dharkneeds,946203627756097537,RT @signoutlife: she needs love more than a mask,Caught in between heartbeats
andie_amaya,103399354,If she is positive for COVID-19... this is... manslaughter,"Fredericton, New Brunswick"
JustJanvii,271075671,RT @stonecold2050: BREAKING: Fauci discusses new life-saving face mask. https://t.co/1eRcu5RfDg,Minneapolis
Marc__1k,313461150,RT @LightyDMV: I bet this bitch is walking around with a mask and gloves now https://t.co/MCSi8DaBKB,Soflo 🌴🌴
Ellelque,29498117,Made it through the day!  I get a actual N95 mask tomorrow.  And I lost my thermometer!  And stores have none! https://t.co/3KcDsNyMjY,"Winter Haven, FL"
consider6261,907396662,Am ready to help, Lagos
ponchus1,2275602327,RT @therealdaddymo1: This one removes his face mask and sneezed. Oluwa pls what is happening? 😩🤦🏾‍♂️🙄😷  https://t.co/CO24xhDcpH, Hades
NicoEchangeur,783952405058744325,RT @nincoroby: The famous picture of the Decathlon snorkling mask in action ...to follow with the article mentionned previously https://t.c…,Paris
Moffy_jo,290706539,RT @SuzukiiSinclair: @KweenKy_ I saw some chick at Walmart lift her mask and put her credit card in her mouth.,Lagos Nigeria
Queen_Rican24,4706323466,Bitches be using masks too create looks girl some hospitals are running low on supplies tf you need to put lipstick on your mask for...,Probs @ a concert 
LilHotHands,84851765,This face mask been going brazy wit my outfits tho,"Orlando, FL"
mcqilken,1054490448784371713,"RT @HellBentVet: Good news
Beautiful group of Heroes 

I will take all the positive I can get",Earth
emilanky10,777610070343426052,RT @therealdaddymo1: This one removes his face mask and sneezed. Oluwa pls what is happening? 😩🤦🏾‍♂️🙄😷  https://t.co/CO24xhDcpH,"Abuja, Nigeria"
GregHopper,24333238,RT @stonecold2050: BREAKING: Fauci discusses new life-saving face mask. https://t.co/1eRcu5RfDg,"Louisville, KY"
Thelazy_genius_,1195232418548068352,RT @imnotgothicc: me being a face mask for my boyfriend so he doesn’t get sick 🥺👉👈 https://t.co/8NHzO5FBXS,"Lagos | Ilorin, Nigeria"
JarradTX,887485545965907969,RT @Thakhani_R: Putin doesn’t play 😂 Dealing with sudden face mask price hikes #Covid_19  https://t.co/i1NgG4t7Sw,"Missouri City, TX"
QvwenNana,1053567452599238656,RT @therealdaddymo1: This one removes his face mask and sneezed. Oluwa pls what is happening? 😩🤦🏾‍♂️🙄😷  https://t.co/CO24xhDcpH,Nigeria
