Username,Id,Tweet
yeshiv03,74935478,RT @nagarjund: Congress MLA Dr Ranganath made sure every MLA entering Vidhan Soudha wore a N95 mask. #COVID19outbreak https://t.co/zdCFq2Ow…
NAZHlWA,3314464902,"RT @kimyaqee2: No one :

__usyy,1436906713,"RT @AminaUshama: @__usyy @oil_shaeikh Wlhi people need awareness, I went to the market with my nose mask .. they were saying wanan sabo sal…",Heaven
Fiziker,28659789,Your kink is not my kink but your kink was prescient,"New Jersey, USA"
HOCLN2,975529532823392256,RT @imnotgothicc: me being a face mask for my boyfriend so he doesn’t get sick 🥺👉👈 https://t.co/8NHzO5FBXS,"Hamburg, Deutschland"
jessieestrada_,3054761757,Would’ve beaten the shit out of her tbh I’m sorry,we're at McDonald's honey
ebukamikeeze,3334450732,@DRElMo_ATIKU Are you guys looking at the picture? What's the use of the face mask with his nose open.,"Benin-City, Nigeria"
KasitiElisha,3223919435,RT @youngy18: ‼ Use a face mask or scarf to keep you nose and mouth covered.,kenya
SteelhorseQ,1009563233425022976,RT @juliemchardy: @OrlandoMH3 @SteelhorseQ @HillaryClinton The Clinton Foundation is a Mask...ie make up!,#stopworldwidepedoring
saintKuytt,1023874459806121985,RT @therealdaddymo1: This one removes his face mask and sneezed. Oluwa pls what is happening? 😩🤦🏾‍♂️🙄😷  https://t.co/CO24xhDcpH,On a mission 
CENT_Tweets,3068255987,"RT @jcochrane721: @CENT_Tweets virtual panther pride week, day 2 hat day, Eli wearing my homemade surgical mask as a hat https://t.co/6ltpp…","Dickson, Tennessee"
TheHandsomeRobV,141839533,Oh Jesus lord above please,"California, USA"
Bubbles4000,804946836045774848,"The US has stated they need 1.2Billion P2 masks, don’t expect resupply anytime soon folks

https://t.co/LkMLBMZSQi","Brisbane, Queensland"
kiingLimaa,580210181,RT @thecableng: VIDEO: Laughter as senator removes face mask to sneeze https://t.co/jfwVmcoEuL via @thecableng https://t.co/O70pwYULOY,"Lagos, Nigeria"
___mishaaaa,420351311,my father say he ready to order a face mask with a oxygen tank ☠️😂😂😂,"Virgin Islands, U.S."
austin_VMX,776469098238803968,RT @therealdaddymo1: This one removes his face mask and sneezed. Oluwa pls what is happening? 😩🤦🏾‍♂️🙄😷  https://t.co/CO24xhDcpH,Global citizen
YamatoForever,633751050,@TheRickWilson @LeonCounty Yep...that's you. You got your mask when you go out in the yard?,"West Augusta, VA"
milkyrenmin,1041495644098031616,I KNOW MY MOM DID NOT JUST COME AT ME SAYING “nat im ready for grocery shoppiny” WITH A MASK ON?? MAAM-,yg’s basement
gracefay_,1101096275913658369,Na only God can save us atp 😭😭😭,"Brooklyn, NY"
Ola_199x,962690817973456896,This also,Somewhere
AmericanVoter5,1185014029359517698,RT @RobProvince: Congrats on all the RTs and ♥️ for this fake story.,🇺 🇸 🇦 
ArielleVas,577715593,How tf am I seeing everyone with mask on?? Wtf everyone at the market got one. I need one too! Who’s got the plug? 😂,"South Bay, LA"
Ola_199x,962690817973456896,RT @TronicLab: 3D protective mask for protection against the highly contagious #COVIDー19 #CoronaVirusNigeria https://t.co/TE72hFGfko,Somewhere
nramiraamzah,811196928021045248,RT @aizadfahmy: Ok we need Rizalman to come back from retirement,Malaysia
jilluazoldyck,879062281400848384,Definitely just got price gouged for a mask and some gloves but girl i need them so ... L,the pledis building basement
Favor60919739,1199694806458470400,RT @Fahvy2: When you work at a bank and 4 guys with mask come in but they're only robbing the place,Under the clouds☁️
k_arlitaa,4775370840,RT @imnotgothicc: me being a face mask for my boyfriend so he doesn’t get sick 🥺👉👈 https://t.co/8NHzO5FBXS,las fiestas 
daisysid,197576401,RT @therealdaddymo1: This one removes his face mask and sneezed. Oluwa pls what is happening? 😩🤦🏾‍♂️🙄😷  https://t.co/CO24xhDcpH,Birmingham
TRUE1JD,1023395695,RT @Cldarnell14: I was waiting for you to look out he window 8 times or take off the mask and smile 🤦🏻‍♂️😂,Minding my business 
HafiqAzizi_,740825010,RT @aizadfahmy: Ok we need Rizalman to come back from retirement,"Kuala Lumpur, Wilayah Persekut"
HenshawKate,135295059,@therealdaddymo1 Who be dat one???😒😒😒😶 what was the use of the mask if you will remove it to sneeze on people????? Smh,worldwide
IrishRiverSong,3445831457,Check out what I just added to my closet on Poshmark: Black and Pink Mask. https://t.co/G358u0dJqL via @poshmarkapp #shopmycloset,"Mile Post, PA"
fatnudes,77532570,DOOM MASK ON wonder if i'll get to hug my dad again before he dies,hell
Callherbritt_,366556209,RT @ParissssB: Everytime i see someone with a mask on I laugh!! Y’all look stupid.,"Memphis, TN"
ethanij1889,753974206170267649,RT @youngy18: ‼ Use a face mask or scarf to keep you nose and mouth covered.,"England, United Kingdom"
rockspastl,1176517009875623936,These at-home masks are GREAT for rejuvenating your skin while you stay inside! #SelfCare #skincare #FaceMasks,"9430 Manchester Road, St Louis"
eDealinfoUSA,40199130,HiHiLL Full Face Anti-Fog Snorkel Mask only $11.96 https://t.co/sRT75e1gge,Cyberspace
