	Username	Id	Tweet	Location
94	lakimdelacreme	801378128	"RT @SoDebNair: White People: COVID-19

Black Folks: the RONA 

Gay People : Miss Rona 

😭☠️"	some place higher 
95	DecuzarTristan	873883864598323201	"RT @joenasandiego: Some good news for your heart

• 8 patients in PH recovered from COVID-19

• Hotel owners allowing use of their property…"	denniseeee
96	bayer82	36362732	"RT @charliekirk11: Let me get this straight:

China, the country that locks Uighur Muslims in concentration camps, has the nerve to call th…"	Texas, USA
97	AnonymissAra	998989900010737666	"RT @CATERINAV: #19Mar TalCual: Gobernador del Zulia informa sobre 41 pacientes con posible coronavirus.

Gobernadora del Táchira informó de…"	
98	TonoEspindola	181968474	RT @m_ebrard: Conversé con el Secretario Mike Pompeo. Le propuse que las medidas  para evitar la propagación del COVID-19 no paralicen la a…	Mexico D.F.
99	bergecarolina	1962747576	RT @hc_cantanhede: Como enfermeiro e atuante na epidemia do COVID-19 só tenho uma coisa pra falar: não romantizem minha profissão, apenas v…	
100	TerengganuNews	868778753836568578	RT @nusantaradaily: RM3.3 bilion bantu PKS terjejas COVID-19, kata Tengku Zafrul https://t.co/OMr5Epl919 https://t.co/XaWzI2Whkk	Kuala Lumpur
101	odpdh	853282207607267330	"RT @MesaConS: La  @WHO habilitó el siguiente WhatsApp para resolver dudas relacionadas con el #Covid19, funciona una maravilla. Escriban ""h…"	Colombia
102	julionivon	149186568	RT @Milenio: Empleados de Starbucks, Vips y otras empresas tomarán ausencia laboral de 30 días sin sueldo por #Covid19 https://t.co/MXOFZeG…	
103	pmtnzc19	476110107	RT @Milenio: Empleados de Starbucks, Vips y otras empresas tomarán ausencia laboral de 30 días sin sueldo por #Covid19 https://t.co/MXOFZeG…	
104	nabillahmisran	597550438	RT @Tsgxy_: Anggota polis Trafik Kuala Lumpur kena langgar semasa sedang bertugas Ops Covid-19. Pemandu berjaya ditahan. #Covid19 https://t…	À’s 🌻
105	shrnlw_	2739561434	RT @waresxx: COVID-19.2 : All bugs fixed. Improved performances.	
106	ThejDRoyal	739351649819500544	@BJPKarnataka @BSYBJP @BBMPCOMM  Sir, some private schools are still asking teachers to come school. They are behaving like Teachers are not vulnerable to COVID-19 and they don't have families. I am writing this on behalf of all teacher families. We beg you to look in to it.	Bengaluru, India
107	JesuaMolina2	1154518404197490688	"RT @Mippcivzla: 📌 𝙄𝙣𝙛𝙤́𝙧𝙢𝙖𝙩𝙚 🧬
Reduce el riesgo de infección del Coronavirus (Covid-19) y toma nota de las recomendaciones para prevenir la…"	San Cristóbal, Venezuela
108	harisdnl__	1068065244847599616	RT @ryssssso: Dalam kekacauan covid-19 ni, just want to remind 22 March ni Israk Mikraj, if all these years tak pernah bagi perhatian. Now,…	Selangor, Malaysia
109	nangislagii	1195160887520157697	"RT @matchapila: Wow ini opini:
""Pemerintahan yg gagap dalam mengatasi Covid-19""

Pro atau Kontra? https://t.co/TrhpdJh0p6"	
110	rrrs0what	1072782009640972291	"RT @husnazmn_: ‘’Apakah sumbangan anda pada negara?”

“Saya duduk rumah ketika covid-19 melanda negara”"	location unknow 
111	FreedoniaMarx	298328822	RT @lhfang: Wall Street is pressuring key healthcare firms to hike prices over the coronavirus crisis. Audio here of bankers asking drug co…	
112	DanielleDuches	196607761	RT @antoinedeshaies: J'ai dû me soumettre au test de dépistage pour la Covid-19. Mise à part l'extrême désagrément de se faire enfoncer une…	Saguenay,Arvida
113	TerengganuNews	868778753836568578	RT @nusantaradaily: Sedia panggil semula pesara doktor sekiranya kes COVID-19 meningkat mendadak https://t.co/iDhRjRzk8a https://t.co/qg4y5…	Kuala Lumpur
114	volta_1721	21853281	"RT @michaelgclump: BREAKING NEWS:

Due to the spread of COVID-19, the Michael Scott's Dunder Mifflin Scranton Meredith Palmer Memorial Cele…"	United States
115	MattLegit10	2344926979	RT @carlyaquilino: If you feel sick please don’t waste the few COVID-19 tests they have. There are still a LOT of movie stars with no sympt…	
116	TheMatthewWest	43603965	"RT @nwspk: The Coronavirus Tech Handbook

The ultimate collection of tools, websites and data relating to the Coronavirus outbreak.

If you…"	Cambridge, MA
117	TimFaulkner81	1067501705032605696	RT @ericgarland: So Trump and the GOP knew for sure Americans would die from slow response and made sure their rich donors could profit ins…	
118	voyezdesole	1164854743853756416	RT @amofficial77: Ahli Parlimen Muar sedekahkan semua gaji dia untuk bulan ini kepada mereka yang memerlukan di saat COVID-19 ni. Terima ka…	
119	grclws	723525801098907648	COVID-19 is exposing our system for what is so how about you stop taking body shots off your girlfriend of two weeks and look at what’s happening.	
120	shahyerim	1218763765799211009	"RT @kimmohito: PM: ""Dilarang berkumpul.""

Malaun: *Berkumpul di masjid*

Me: ""Kau bodo ke nak sebar Covid-19?""

Malaun: ""Sesungguhnya penya…"	
121	Angel_Dust_69	2491722968	RT @sermoraes: The statue of Christ the Redeemer is lit up in the colors of the countries that are affected by the coronavirus disease (COV…	Nowhere
122	f_emasculata	964764716	RT @emptywheel: Anyone checked whether Marco Rubio dumped stock based off his classified briefings on COVID-19? Bc I believe he'd be next i…	Los Angeles, CA
123	Tone_Ace	184259067	RT @timkmak: I asked Sen. Burr spokesperson Caitlin Carroll if her office had a comment re: the reports about the senator's stock sales ami…	
124	julitzayva	879498258359480321	"RT @baeonda: I’m 22 years old and I tested positive for COVID-19. 

I’ve been debating on posting, but I want to share my experience especi…"	
125	miopiniones3	1118327092763156480	RT @linaarbelaez: #PorLaNiñezDenuncio que hay criminales solicitando contratos en nombre del Gobierno como operadores, para aprovecharse en…	
126	Polinoticias_wo	3120207987	El covid-19 es:	El Entronque.
127	newc88	715354801	RT @JoelAErickson: Colts star CB and 2019 Walter Payton Man of the Year NOminee Pierre Desir is taking a step forward to help the St. Louis…	Indiana, USA
128	ueharams	192815531	The Home Lockdown Survival Guide - Staying Healthy, Sane, &amp; Solvent During The COVID-19 Crisis | Zero Hedge https://t.co/9VpWGBrLaR	Japan
129	thefatinwho	1123506010537086976	"RT @baeonda: I’m 22 years old and I tested positive for COVID-19. 

I’ve been debating on posting, but I want to share my experience especi…"	Kedah, Malaysia
130	simonyetmonyet	1234161098	@drajm my understanding of covid-19 is it can be aerosolized?spatial distancing &amp;washing hands is great but covid-19 can be aerosolized..	
131	pajakjktgambir4	1100579456006025216	"Sejalan dg upaya pemerintah dalam pencegahan penyebaran COVID-19, maka mulai tanggal 16 Maret s.d 5 April 2020 pelayanan perpajakan yang dilakukan di TPT pada Kantor Pelayanan Pajak di seluruh Indonesia untuk sementara ditiadakan.

Lengkapnya, simak infografis berikut. https://t.co/QZKGrnNTTy"	https://goo.gl/maps/yuBQ3x69adp
132	evejangja	207037185	"RT @vorachatMD: เกินครึ่งของผู้ป่วยตอนนี้ 
เดินไปหาแหล่งเชื้อมากกว่าเชื้อวิ่งมาหา 

ถ้าทำ social distancing อยู่แล้ว 
เราป้องกันตัวดี ดูแล…"	𝚃𝚑𝚊𝚒𝚕𝚊𝚗𝚍
133	UsodoWiro	1026058447593164800	RT @iraonethedi: Jadi ingat dengan Ibu Siti Fadilah...jika bener blio dikriminalisasi &amp; pastinya ada hubungan dgn temuan &amp; sudut pandangnya…	
134	MuriRomero	171795638	RT @polliforero: 🔴El ministerio del Interior se querelló contra Tomás León Marinkovic, joven que viajó a Temuco con Covid-19 sin esperar re…	Concepción, Chile
135	2_UR13L	216984955	RT @giovatinto: Con 27 años y sin patologías previas, el abogado Esaú Reyes Lopez se ha convertido en el segundo muerto por Covid 19. El vi…	Osaka City, Osaka
136	peachjellys	272222701	RT @mungship: ตั้งแต่ Covid-19 เริ่มดังในไทย ไม่เคยมีคนในทีมขอลาป่วยด้วยเหตุผล มีไข้ อีกเลยครับ	choseok+baby dohyonnie🍼
137	farrellcob	2765137780	RT @NoahPollak: Israeli pharmaceutical company Teva announces donation of 6 million Hydroxychloroquine tablets to US hospitals to fight Chi…	
138	Azeretttt1	1079912595853795329	RT @lovelyjaaccky: two patients were tested positive for COVID-19 at Salinas Valley Memorial Hospital!😳Please stay SAFE everyone.	Bay Area , Ca 
139	Tx4Hk	1180244821979602949	RT @SenRubioPress: An important example of how valuable an ally #Taiwan is to the US. Even as they combat #Covid_19 within their own border…	
140	AlbaSolisB	2545062160	RT @felixsquash: Cuando se disparen los casos de COVID-19 en Arg de manera exponencial recordemos que esta vez NO fue el gobierno, NO fuero…	Eldorado, Misiones
141	SulihRatri	1047983229016268800	"RT @silvianurulrri: Bismillahirrahmanirrahim

Saya share sedikit pengalaman saya dan suami.

""SUSPECT COVID 19""

Saya sangat berterimakasih…"	
142	NonVitalTooth	40012474	RT @malaysiakini: Penang CM to join NSC special meeting on Covid-19 https://t.co/BKZiS15yHN https://t.co/5DBZg40V9j	风下之乡、沙巴 - North Borneo . Sabah
143	VasudhaMS	1948597412	"RT @DDNewslive: Here are the 9 calls to action PM @narendramodi gave in his address to the nation on COVID-19.
#JantaCurfew #CoronaVirusUpd…"	california 
144	TheDeRosh	211684664	RT @timkmak: I asked Sen. Burr spokesperson Caitlin Carroll if her office had a comment re: the reports about the senator's stock sales ami…	Denver, CO
145	bogak27	1010412282960961536	@SwTruPnay Oi ,di https://t.co/cFkPYFj4zj distancing diba?6 ft away.😂😂😂 Sabi nga nila wla daw munang forever ngayon panahon ng covid 19, lockdown muna.	
146	mienn10	2171948652	RT @MuhyiddinYassin: Hentikan Penularan COVID-19 https://t.co/db7rZz2Ksc	
147	Nadacantikar	421775709	"RT @d3adnesss: I can't wait to hear 

""COVID-19 is finally gone."" may Allah ease everything Aamin"	Burangrang 8
148	Judyt1954	591102049	"RT @d1Vinman: The reality is:
It's good to be the last of the world's 4 population centers to get COVID-19

It's bad at the same time

1.We…"	Louisiana
149	DaNiBananiie	28637014	RT @JackelineYvette: As you all continue to discuss COVID-19, please note that millennials are currently between the ages of 24 and 39.	Louisiana
150	LilCaseyJ	84679665	RT @MayorAdler: The health of all Austinites is my highest priority. If you feel unwell, contact your health care provider before going to…	Austin, Tx
151	grgrybrns	115941268	RT @micahflee: The Bernie Sanders campaign is fundraising for COVID-19 relief organizations https://t.co/jZw2gbOZMp https://t.co/KoyE7Q3hPR	EdgewdATL-MvskogeeCherokeeland
152	lapecositadidi8	1233102930020098048	"RT @jr4feb: #19Mar #RedDePatriotas 
 #JuntosEnLaPrevencion Desde el aeropuerto internacional Simón Bolívar. Llegade Apoyo solicitada por el…"	
153	imixddd	1046433056884580352	RT @Morkorn: เชิญชวนบุคลากรการแพทย์ โพสรูปถือแผ่นกระดาษ ข้อความ “หมอทำงานหนักที่รพ.เพื่อพวกคุณ  ขอคุณพักอยู่บ้านเพื่อพวกเรา” โพสลง Social m…	
